4 0.32 0.32
5 0.42 0.42
6 0.48 0.48
7 0.56 0.56
8 0.61 0.61
9 0.65 0.65
10 0.67 0.67
11 0.71 0.71
12 0.74 0.74
13 0.77 0.77
14 0.84 0.84
15 0.82 0.82
16 0.85 0.85
17 0.87 0.87
18 0.89 0.89
19 0.90 0.90
20 0.91 0.91
21 0.91 0.91
22 0.92 0.92
23 0.95 0.95
24 0.94 0.94
25 0.96 0.96
26 0.96 0.96
27 0.97 0.97
28 0.97 0.97
29 0.97 0.97
30 0.97 0.97

1 0.00 0.00
2 0.15 0.15
3 0.29 0.29
4 0.40 0.40
5 0.53 0.53
6 0.59 0.59
7 0.65 0.65
8 0.68 0.68
9 0.68 0.68
10 0.79 0.79
11 0.82 0.82
12 0.86 0.86
13 0.88 0.88
14 0.89 0.89
15 0.93 0.93
16 0.91 0.91
17 0.93 0.93
18 0.93 0.93
19 0.95 0.95
20 0.95 0.95
21 0.97 0.97
22 0.97 0.97
23 0.97 0.97
24 0.98 0.98
25 0.98 0.98
